cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
12020,"Athens-Clarke County, GA",13219,Oconee County,Georgia,"Athens-Clarke County, GA",12020,2024,400.295,372.69,27.605000000000018,7.40696020821594
12020,"Athens-Clarke County, GA",13219,Oconee County,Georgia,"Athens-Clarke County, GA",12020,2025,426.71000000000004,400.295,26.41500000000002,6.598883323548899
12020,"Athens-Clarke County, GA",13221,Oglethorpe County,Georgia,"Athens-Clarke County, GA",12020,2022,342.8,281.7975,61.0025,21.647637044331482
12020,"Athens-Clarke County, GA",13221,Oglethorpe County,Georgia,"Athens-Clarke County, GA",12020,2023,372.69,342.8,29.889999999999986,8.7193698949825
12020,"Athens-Clarke County, GA",13221,Oglethorpe County,Georgia,"Athens-Clarke County, GA",12020,2024,400.295,372.69,27.605000000000018,7.40696020821594
12020,"Athens-Clarke County, GA",13221,Oglethorpe County,Georgia,"Athens-Clarke County, GA",12020,2025,426.71000000000004,400.295,26.41500000000002,6.598883323548899
12100,"Atlantic City-Hammonton, NJ",34001,Atlantic County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2022,354.695,296.83,57.86500000000001,19.49432335006569
12100,"Atlantic City-Hammonton, NJ",34001,Atlantic County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2023,392.14750000000004,354.695,37.45250000000004,10.559071878656322
12100,"Atlantic City-Hammonton, NJ",34001,Atlantic County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2024,435.5175,392.14750000000004,43.36999999999995,11.059614048285393
12100,"Atlantic City-Hammonton, NJ",34001,Atlantic County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2025,454.225,435.5175,18.70750000000004,4.295464590975118
12100,"Atlantic City-Hammonton, NJ",34009,Cape May County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2022,354.695,296.83,57.86500000000001,19.49432335006569
12100,"Atlantic City-Hammonton, NJ",34009,Cape May County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2023,392.14750000000004,354.695,37.45250000000004,10.559071878656322
12100,"Atlantic City-Hammonton, NJ",34009,Cape May County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2024,435.5175,392.14750000000004,43.36999999999995,11.059614048285393
12100,"Atlantic City-Hammonton, NJ",34009,Cape May County,New Jersey,"Atlantic City-Hammonton, NJ",12100,2025,454.225,435.5175,18.70750000000004,4.295464590975118
12220,"Auburn-Opelika, AL",01081,Lee County,Alabama,"Auburn-Opelika, AL",12220,2022,275.41999999999996,238.0775,37.34249999999997,15.685018533880758
12220,"Auburn-Opelika, AL",01081,Lee County,Alabama,"Auburn-Opelika, AL",12220,2023,297.025,275.41999999999996,21.605000000000018,7.844383123956145
12220,"Auburn-Opelika, AL",01081,Lee County,Alabama,"Auburn-Opelika, AL",12220,2024,312.0475,297.025,15.022500000000036,5.05765507953877
12220,"Auburn-Opelika, AL",01081,Lee County,Alabama,"Auburn-Opelika, AL",12220,2025,335.385,312.0475,23.337499999999977,7.478829344891391
12220,"Auburn-Opelika, AL",01087,Macon County,Alabama,"Auburn-Opelika, AL",12220,2022,275.41999999999996,238.0775,37.34249999999997,15.685018533880758
12220,"Auburn-Opelika, AL",01087,Macon County,Alabama,"Auburn-Opelika, AL",12220,2023,297.025,275.41999999999996,21.605000000000018,7.844383123956145
12220,"Auburn-Opelika, AL",01087,Macon County,Alabama,"Auburn-Opelika, AL",12220,2024,312.0475,297.025,15.022500000000036,5.05765507953877
12220,"Auburn-Opelika, AL",01087,Macon County,Alabama,"Auburn-Opelika, AL",12220,2025,335.385,312.0475,23.337499999999977,7.478829344891391
12260,"Augusta-Richmond County, GA-SC",13033,Burke County,Georgia,"Augusta-Richmond County, GA-SC",12260,2022,269.28,226.975,42.30499999999998,18.638616587729917
12260,"Augusta-Richmond County, GA-SC",13033,Burke County,Georgia,"Augusta-Richmond County, GA-SC",12260,2023,290.635,269.28,21.355000000000018,7.930407011289375
12260,"Augusta-Richmond County, GA-SC",13033,Burke County,Georgia,"Augusta-Richmond County, GA-SC",12260,2024,302.8025,290.635,12.167500000000018,4.186522614275634
12260,"Augusta-Richmond County, GA-SC",13033,Burke County,Georgia,"Augusta-Richmond County, GA-SC",12260,2025,315.765,302.8025,12.962499999999977,4.280843123818312
12260,"Augusta-Richmond County, GA-SC",13073,Columbia County,Georgia,"Augusta-Richmond County, GA-SC",12260,2022,269.28,226.975,42.30499999999998,18.638616587729917
12260,"Augusta-Richmond County, GA-SC",13073,Columbia County,Georgia,"Augusta-Richmond County, GA-SC",12260,2023,290.635,269.28,21.355000000000018,7.930407011289375
12260,"Augusta-Richmond County, GA-SC",13073,Columbia County,Georgia,"Augusta-Richmond County, GA-SC",12260,2024,302.8025,290.635,12.167500000000018,4.186522614275634
12260,"Augusta-Richmond County, GA-SC",13073,Columbia County,Georgia,"Augusta-Richmond County, GA-SC",12260,2025,315.765,302.8025,12.962499999999977,4.280843123818312
